2025-07-09 20:50:12.777 | INFO | EventBus | start:82 | EventBus 'TestBus' engines started
2025-07-09 20:50:12.777 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-09 20:50:12.777 | INFO | ServiceRegistry | handle_register:65 | Service registered: TestService
2025-07-09 20:50:12.982 | INFO | ServiceRegistry | handle_unregister:79 | Service unregistered: TestService
2025-07-09 20:50:13.183 | INFO | ServiceRegistry | handle_register:65 | Service registered: HeartBeatService
2025-07-09 20:50:13.689 | INFO | ServiceRegistry | handle_register:65 | Service registered: S0
2025-07-09 20:50:13.690 | INFO | ServiceRegistry | handle_register:65 | Service registered: S1
2025-07-09 20:50:13.691 | INFO | ServiceRegistry | handle_register:65 | Service registered: S2
2025-07-09 20:50:14.195 | INFO | ServiceRegistry | handle_register:65 | Service registered: TimeoutService
2025-07-09 20:50:17.198 | INFO | ServiceRegistry | handle_register:65 | Service registered: C0
2025-07-09 20:50:17.198 | INFO | ServiceRegistry | handle_register:65 | Service registered: C1
2025-07-09 20:50:17.198 | INFO | ServiceRegistry | handle_register:65 | Service registered: C2
2025-07-09 20:50:17.198 | INFO | ServiceRegistry | handle_register:65 | Service registered: C3
2025-07-09 20:50:17.205 | INFO | ServiceRegistry | handle_register:65 | Service registered: C4
2025-07-09 20:50:17.206 | INFO | ServiceRegistry | handle_register:65 | Service registered: C5
2025-07-09 20:50:17.207 | INFO | ServiceRegistry | handle_register:65 | Service registered: C6
2025-07-09 20:50:17.209 | INFO | ServiceRegistry | handle_register:65 | Service registered: C7
2025-07-09 20:50:17.210 | INFO | ServiceRegistry | handle_register:65 | Service registered: C8
2025-07-09 20:50:17.211 | INFO | ServiceRegistry | handle_register:65 | Service registered: C9
2025-07-09 20:50:17.719 | ERROR | EventBus | _invoke_handlers:342 | Handler error for service.register: 'name'
2025-07-09 20:50:17.722 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:50:17.722 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:50:18.199 | INFO | ServiceRegistry | stop:53 | ServiceRegistry stopped
2025-07-09 20:50:18.785 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for TestBus
2025-07-09 20:50:19.785 | INFO | EventBus | _stop_async:226 | Async engine stopped for TestBus
2025-07-09 20:50:19.785 | INFO | EventBus | stop:88 | EventBus 'TestBus' engines stopped
2025-07-09 20:53:05.530 | INFO | EventBus | start:82 | EventBus 'TestBus' engines started
2025-07-09 20:53:05.530 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-09 20:53:05.530 | INFO | ServiceRegistry | handle_register:65 | Service registered: TestService
2025-07-09 20:53:05.743 | INFO | ServiceRegistry | handle_unregister:79 | Service unregistered: TestService
2025-07-09 20:53:05.946 | INFO | ServiceRegistry | handle_register:65 | Service registered: HeartBeatService
2025-07-09 20:53:06.455 | INFO | ServiceRegistry | handle_register:65 | Service registered: S0
2025-07-09 20:53:06.459 | INFO | ServiceRegistry | handle_register:65 | Service registered: S1
2025-07-09 20:53:06.460 | INFO | ServiceRegistry | handle_register:65 | Service registered: S2
2025-07-09 20:53:06.966 | INFO | ServiceRegistry | handle_register:65 | Service registered: TimeoutService
2025-07-09 20:53:09.970 | INFO | ServiceRegistry | handle_register:65 | Service registered: C0
2025-07-09 20:53:09.970 | INFO | ServiceRegistry | handle_register:65 | Service registered: C1
2025-07-09 20:53:09.970 | INFO | ServiceRegistry | handle_register:65 | Service registered: C2
2025-07-09 20:53:09.976 | INFO | ServiceRegistry | handle_register:65 | Service registered: C3
2025-07-09 20:53:09.978 | INFO | ServiceRegistry | handle_register:65 | Service registered: C4
2025-07-09 20:53:09.979 | INFO | ServiceRegistry | handle_register:65 | Service registered: C5
2025-07-09 20:53:09.980 | INFO | ServiceRegistry | handle_register:65 | Service registered: C6
2025-07-09 20:53:09.982 | INFO | ServiceRegistry | handle_register:65 | Service registered: C7
2025-07-09 20:53:09.982 | INFO | ServiceRegistry | handle_register:65 | Service registered: C8
2025-07-09 20:53:09.985 | INFO | ServiceRegistry | handle_register:65 | Service registered: C9
2025-07-09 20:53:10.488 | ERROR | EventBus | _invoke_handlers:342 | Handler error for service.register: 'name'
2025-07-09 20:53:10.488 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:53:10.495 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:53:10.972 | INFO | ServiceRegistry | stop:53 | ServiceRegistry stopped
2025-07-09 20:53:11.545 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for TestBus
2025-07-09 20:53:12.546 | INFO | EventBus | _stop_async:226 | Async engine stopped for TestBus
2025-07-09 20:53:12.546 | INFO | EventBus | stop:88 | EventBus 'TestBus' engines stopped
2025-07-09 20:53:31.673 | INFO | EventBus | start:82 | EventBus 'TestBus' engines started
2025-07-09 20:53:31.673 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-09 20:53:31.673 | INFO | ServiceRegistry | handle_register:65 | Service registered: TestService
2025-07-09 20:53:31.877 | INFO | ServiceRegistry | handle_unregister:79 | Service unregistered: TestService
